,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
499,새벽별기획,소매,관광/민예품/선물용품소매,서울특별시 서대문구 연희로2안길 7-22,126.927456738251,37.5597237070647
500,문앞마켓,소매,수퍼마켓,서울특별시 서대문구 신촌로 127,126.939976134226,37.556448867196
501,밥이꿀바비꿀,음식,한식/백반/한정식,서울특별시 서대문구 신촌로 149,126.942482942316,37.5568587947185
502,희래식당,음식,중국음식/중국집,서울특별시 서대문구 명물길 16,126.937775664532,37.5575824212804
503,에코센트릭,소매,건강식품판매,서울특별시 서대문구 연세로5다길 41,126.933235712924,37.5568837291414
504,명륜진사갈비,음식,갈비/삼겹살,서울특별시 서대문구 명물길 63,126.939551789653,37.5592382801562
505,커피니,음식,커피전문점/카페/다방,서울특별시 서대문구 신촌로 197,126.947956536627,37.5571689970005
506,레피리움네이처,생활서비스,비만/피부관리,서울특별시 서대문구 신촌역로 10,126.94317388664,37.5576218553347
507,만남즉석떡볶이,음식,떡볶이전문,서울특별시 서대문구 연세로9길 8,126.936437391134,37.558570527189
508,메가엠지씨커피,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로5가길 8-6,126.936418679748,37.5574981214941
509,캐치카페,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로 8-1,126.937284068375,37.5563345623891
510,신촌칼국수,음식,국수/만두/칼국수,서울특별시 서대문구 명물길 66,126.939851393165,37.5588625341652
511,1970새마을포차,음식,호프/맥주,서울특별시 서대문구 연세로5가길 8-3,126.936125981917,37.5573873596008
512,스시미세기,음식,음식점-초밥전문,서울특별시 서대문구 성산로22길 4,126.93330997795,37.560407463722
513,리틀쿠바,음식,기타전문서양음식점,서울특별시 서대문구 연세로 13,126.936542858638,37.5567243459065
514,이대말랑즉석떡볶이,음식,떡볶이전문,서울특별시 서대문구 이화여대길 43,126.945465749308,37.5588317213455
515,카페이즈니,음식,커피전문점/카페/다방,서울특별시 서대문구 이화여대2가길 24,126.946229188216,37.5584691113836
516,천하장사,음식,곱창/양구이전문,서울특별시 서대문구 연세로9길 32,126.935044900978,37.5585940163968
517,이마트24,소매,할인점,서울특별시 서대문구 연희로 12,126.926832233967,37.5598621982107
518,청키파이,음식,커피전문점/카페/다방,서울특별시 서대문구 신촌역로 22-5,126.943020013663,37.5588999547767
519,킹콩전자담배,소매,금연관련제품판매,서울특별시 서대문구 신촌로 121,126.939277954266,37.5561993158556
520,신촌예스공인중개사사무소,부동산,부동산중개,서울특별시 서대문구 신촌로 109,126.937777969987,37.5558254142018
