,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
471,20474826,동차합격,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115380005,1,대지,1538,5,서울특별시 관악구 신림동 1538-5,116204160318,서울특별시 관악구 대학6길,10,,1162010200115380005005662,,서울특별시 관악구 대학6길 10,151895,08813,,1,,126.937176241197,37.4690131851687,동차합격%20대학동,https://m.place.naver.com/restaurant/1695110862,한식,17.0
473,20483520,통영장어잡는날,,Q,음식,Q03,일식/수산물,Q03A07,민물장어전문,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102550112,1,대지,255,112,서울특별시 관악구 신림동 255-112,116204160321,서울특별시 관악구 대학길,103,,1162010200102550112005641,,서울특별시 관악구 대학길 103,151860,08818,,1,,126.937692545801,37.466080394838,통영장어잡는날%20대학동,https://m.place.naver.com/restaurant/20825341,한식,62.0
474,20485349,한솥도시락신림9동고시촌점,도시락신림9동고시촌점,Q,음식,Q07,패스트푸드,Q07A02,도시락전문점,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115170017,1,대지,1517,17,서울특별시 관악구 신림동 1517-17,116204160767,서울특별시 관악구 호암로24길,77,,1162010200115170017005564,,서울특별시 관악구 호암로24길 77,151895,08813,,1,,126.937590386013,37.4693052464922,한솥도시락신림9동고시촌점%20대학동,https://m.place.naver.com/restaurant/13376629,"도시락,컵밥",271.0
475,20486106,전주콩나물국밥,,Q,음식,Q01,한식,Q01A04,한정식전문,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115420009,1,대지,1542,9,서울특별시 관악구 신림동 1542-9,116204160765,서울특별시 관악구 호암로22길,70,3,1162010200115420009007062,,서울특별시 관악구 호암로22길 70-3,151897,08819,,1,,126.9366775433,37.4683058772006,전주콩나물국밥%20대학동,https://m.place.naver.com/restaurant/1292089952,국밥,270.0
476,20486652,호암교수회관,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200200560001,2,산,56,1,서울특별시 관악구 신림동 산56-1,116203120001,서울특별시 관악구 관악로,1,,1162010100102390001031057,서울대학교,서울특별시 관악구 관악로 1,151742,08826,,,,126.959279517057,37.4680295491979,호암교수회관%20대학동,https://m.place.naver.com/restaurant/1265439418,한식,14.0
477,20487004,호남식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115320015,1,대지,1532,15,서울특별시 관악구 신림동 1532-15,116204160768,서울특별시 관악구 호암로26가길,35,,1162010200115320015005573,스타빌,서울특별시 관악구 호암로26가길 35,151895,08812,,1,,126.933487502112,37.4692502641126,호남식당%20대학동,https://m.place.naver.com/restaurant/18730916,한식,48.0
479,20568142,가비사랑방,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200117050001,1,대지,1705,1,서울특별시 관악구 신림동 1705-1,116204160312,서울특별시 관악구 대학18길,6,,1162010200117050001006458,금호타운1차아파트,서울특별시 관악구 대학18길 6,151015,08824,,,,126.93733850322,37.4655365793998,가비사랑방%20대학동,https://m.place.naver.com/restaurant/34358247,카페,35.0
482,20593836,The바삭바삭신림점,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115330016,1,대지,1533,16,서울특별시 관악구 신림동 1533-16,116204160765,서울특별시 관악구 호암로22길,25,,1162010200115330016005712,로젠스터디,서울특별시 관악구 호암로22길 25,151895,08812,,1,,126.934169671903,37.4689770930801,The바삭바삭신림점%20대학동,https://m.place.naver.com/restaurant/32794842,돈가스,20.0
483,20595982,장수떡집,,Q,음식,Q08,제과제빵떡케익,Q08A03,떡전문,I56191,제과점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102420017,1,대지,242,17,서울특별시 관악구 신림동 242-17,116204160500,서울특별시 관악구 신림로11길,39,,1162010200102420017005765,,서울특별시 관악구 신림로11길 39,151859,08814,,1,,126.938920782946,37.4687585480766,장수떡집%20대학동,https://m.place.naver.com/restaurant/1466646147,"떡,한과",40.0
484,20597702,엘노핌피자,본점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115150002,1,대지,1515,2,서울특별시 관악구 신림동 1515-2,116203120005,서울특별시 관악구 신림로,115,,1162010200115150002005319,,서울특별시 관악구 신림로 115,151895,08813,,2,,126.936451944471,37.470664605062,엘노핌피자%20대학동,https://m.place.naver.com/restaurant/11846678,피자,54.0
